timestamp,open,close,high,low,volume
2019-01-05 21:45:00,5.3454,5.3308,5.35,5.3308,3605.07
2019-01-05 22:00:00,5.3303,5.3144,5.3352,5.31,1121.3
2019-01-05 22:15:00,5.3153,5.3196,5.3196,5.3146,342.65
2019-01-05 22:30:00,5.3222,5.3482,5.349,5.3222,1548.39
2019-01-05 22:45:00,5.3489,5.3346,5.3496,5.3346,446.12
2019-01-05 23:00:00,5.3395,5.2477,5.3395,5.2253,14007.42
2019-01-05 23:15:00,5.2499,5.2849,5.2849,5.2359,8045.34
2019-01-05 23:30:00,5.2849,5.3015,5.3015,5.2688,4106.72
2019-01-05 23:45:00,5.298,5.272,5.298,5.272,508.63
2019-01-06 00:00:00,5.2802,5.2598,5.2803,5.252,1831.6
2019-01-06 00:15:00,5.2602,5.2637,5.2722,5.257,662.75
2019-01-06 00:30:00,5.269,5.2512,5.2692,5.2455,1995.76
2019-01-06 00:45:00,5.251,5.2431,5.251,5.23,2416.79
2019-01-06 01:00:00,5.2437,5.2581,5.2685,5.2055,4869.59
2019-01-06 01:15:00,5.2577,5.2608,5.2652,5.2544,582.04
2019-01-06 01:30:00,5.2568,5.2862,5.2862,5.2557,1961.63
2019-01-06 01:45:00,5.2881,5.2851,5.2956,5.2801,1959.41
2019-01-06 02:00:00,5.2896,5.281,5.3033,5.281,3553.08
2019-01-06 02:15:00,5.2803,5.2915,5.2915,5.2801,110.16
2019-01-06 02:30:00,5.2922,5.2855,5.2922,5.2845,271.38
2019-01-06 02:45:00,5.279,5.2553,5.2838,5.2487,3037.76
2019-01-06 03:00:00,5.2588,5.2471,5.2623,5.2099,5055.43
2019-01-06 03:15:00,5.2505,5.2693,5.2787,5.2505,7064.62
2019-01-06 03:30:00,5.2696,5.2532,5.2696,5.2522,1018.41
2019-01-06 03:45:00,5.2646,5.2625,5.266,5.2602,747.45
2019-01-06 04:00:00,5.2659,5.2609,5.2772,5.2593,2692.23
2019-01-06 04:15:00,5.2608,5.2609,5.2609,5.2533,116.23
2019-01-06 04:30:00,5.2735,5.2781,5.2862,5.2735,193.58
2019-01-06 04:45:00,5.2846,5.2805,5.2933,5.2805,1111.15
2019-01-06 05:00:00,5.2808,5.2739,5.2818,5.2739,1178.01
2019-01-06 05:15:00,5.2747,5.2669,5.2764,5.2643,412.5
2019-01-06 05:30:00,5.2737,5.2812,5.2853,5.2737,1051.45
2019-01-06 05:45:00,5.2806,5.2832,5.2834,5.2771,1077.53
2019-01-06 06:00:00,5.2858,5.2941,5.2941,5.2753,934.29
2019-01-06 06:15:00,5.295,5.2975,5.3036,5.2869,1816.22
2019-01-06 06:30:00,5.3008,5.302,5.3044,5.2981,732.3
2019-01-06 06:45:00,5.3013,5.2991,5.3024,5.2991,328.42
2019-01-06 07:00:00,5.3016,5.2911,5.3037,5.2911,1678.22
2019-01-06 07:15:00,5.2983,5.2976,5.3026,5.294,211.49
2019-01-06 07:30:00,5.2963,5.2938,5.2963,5.2938,49.84
2019-01-06 07:45:00,5.2988,5.2927,5.3032,5.2927,372.69
2019-01-06 08:00:00,5.2914,5.2727,5.2947,5.2682,1554.66
2019-01-06 08:15:00,5.2746,5.2441,5.2746,5.2439,1760.35
2019-01-06 08:30:00,5.2434,5.2594,5.2658,5.2366,1150.13
2019-01-06 08:45:00,5.2649,5.2792,5.2792,5.2649,789.25
2019-01-06 09:00:00,5.2769,5.2723,5.2806,5.2668,1443.02
2019-01-06 09:15:00,5.2723,5.263,5.2723,5.263,643.99
2019-01-06 09:30:00,5.2719,5.2579,5.2719,5.2563,360.3
2019-01-06 09:45:00,5.2595,5.261,5.261,5.2574,246.55
2019-01-06 10:00:00,5.258,5.3297,5.33,5.2563,7770.57
2019-01-06 10:15:00,5.3298,5.3175,5.3299,5.3014,5173.69
2019-01-06 10:30:00,5.3175,5.3184,5.3198,5.3149,1373.1
2019-01-06 10:45:00,5.3184,5.2922,5.3184,5.2922,1657.69
2019-01-06 11:00:00,5.2955,5.298,5.2999,5.2924,419.13
2019-01-06 11:15:00,5.298,5.2927,5.298,5.2924,225.76
2019-01-06 11:30:00,5.2924,5.353,5.3576,5.2923,8959.46
2019-01-06 11:45:00,5.3507,5.35,5.3699,5.3458,7729.06
2019-01-06 12:00:00,5.3478,5.3657,5.3896,5.3478,4422.72
2019-01-06 12:15:00,5.3697,5.3523,5.3697,5.3505,1216.39
2019-01-06 12:30:00,5.3566,5.3704,5.3704,5.3496,1429.73
2019-01-06 12:45:00,5.3656,5.3668,5.3704,5.3604,237.85
2019-01-06 13:00:00,5.3666,5.37,5.3859,5.3666,1464.11
2019-01-06 13:15:00,5.3709,5.3692,5.3788,5.3691,339.2
2019-01-06 13:30:00,5.3689,5.3413,5.3689,5.3409,1919.97
2019-01-06 13:45:00,5.341,5.3374,5.3537,5.3324,2258.21
2019-01-06 14:00:00,5.3416,5.3387,5.3456,5.3305,578.13
2019-01-06 14:15:00,5.3457,5.3518,5.3536,5.3457,612.27
2019-01-06 14:30:00,5.3524,5.3613,5.3648,5.3512,2277.72
2019-01-06 14:45:00,5.3585,5.345,5.3585,5.345,547.96
2019-01-06 15:00:00,5.3446,5.3456,5.3494,5.3446,975.7
2019-01-06 15:15:00,5.3439,5.3409,5.3439,5.3408,586.27
2019-01-06 15:30:00,5.3416,5.3567,5.3567,5.341,466.76
2019-01-06 15:45:00,5.355,5.3485,5.3553,5.3473,2326.84
2019-01-06 16:00:00,5.3485,5.3728,5.3903,5.3485,11539.94
2019-01-06 16:15:00,5.3727,5.3683,5.3749,5.3612,336.4
2019-01-06 16:30:00,5.3802,5.3731,5.395,5.3731,812.07
2019-01-06 16:45:00,5.3676,5.3578,5.3676,5.3483,566.41
2019-01-06 17:00:00,5.3578,5.343,5.3709,5.343,1134.72
2019-01-06 17:15:00,5.343,5.3784,5.3819,5.3397,1222.14
2019-01-06 17:30:00,5.3754,5.4231,5.4239,5.3707,32032.74
2019-01-06 17:45:00,5.4231,5.5459,5.55,5.4231,33990.85
2019-01-06 18:00:00,5.5456,5.5251,5.6124,5.5017,32665.27
2019-01-06 18:15:00,5.5332,5.6707,5.75,5.5284,98975.82
2019-01-06 18:30:00,5.6707,5.6463,5.7,5.6399,9237.16
2019-01-06 18:45:00,5.6453,5.6545,5.6608,5.64,4911.44
2019-01-06 19:00:00,5.6586,5.6276,5.6718,5.621,12404.26
2019-01-06 19:15:00,5.6292,5.6346,5.6532,5.622,5358.47
2019-01-06 19:30:00,5.6323,5.5646,5.6415,5.5646,24001.69
2019-01-06 19:45:00,5.5732,5.5741,5.6094,5.5612,9807.37
2019-01-06 20:00:00,5.5739,5.588,5.6198,5.5737,4138.63
2019-01-06 20:15:00,5.5891,5.6038,5.6104,5.5891,1958.48
2019-01-06 20:30:00,5.5964,5.5818,5.5964,5.578,1350.1
2019-01-06 20:45:00,5.5886,5.5827,5.5886,5.5724,887.14
2019-01-06 21:00:00,5.5857,5.6058,5.6058,5.5857,1350.91
2019-01-06 21:15:00,5.6068,5.5969,5.6103,5.5854,2299.9
2019-01-06 21:30:00,5.5968,5.6185,5.6389,5.5896,6181.43
2019-01-06 21:45:00,5.6125,5.5997,5.6242,5.5822,3354.59
2019-01-06 22:00:00,5.5958,5.5862,5.599,5.5856,644.53
2019-01-06 22:15:00,5.5853,5.5938,5.6006,5.5853,955.03
2019-01-06 22:30:00,5.5967,5.6,5.6196,5.59,14999.13
2019-01-06 22:45:00,5.6,5.5856,5.6,5.5832,546.13
2019-01-06 23:00:00,5.5833,5.5708,5.5986,5.5681,4505.31
2019-01-06 23:15:00,5.5761,5.5533,5.5761,5.5452,3280.96
2019-01-06 23:30:00,5.5444,5.5327,5.5532,5.5326,3951.01
2019-01-06 23:45:00,5.53,5.5044,5.53,5.5,12774.8
2019-01-07 00:00:00,5.5044,5.5459,5.5569,5.5044,2014.19
2019-01-07 00:15:00,5.5525,5.5592,5.5634,5.5416,4908.95
2019-01-07 00:30:00,5.5592,5.5235,5.5633,5.5142,4602.89
2019-01-07 00:45:00,5.5251,5.6227,5.6355,5.5235,8739.42
2019-01-07 01:00:00,5.6227,5.6205,5.642,5.6185,17086.41
2019-01-07 01:15:00,5.6177,5.6227,5.6227,5.6051,6184.67
2019-01-07 01:30:00,5.6056,5.6024,5.6095,5.5944,7119.1
2019-01-07 01:45:00,5.5978,5.566,5.5978,5.566,1480.46
2019-01-07 02:00:00,5.5612,5.5127,5.5612,5.51,5980.54
2019-01-07 02:15:00,5.5104,5.5273,5.5273,5.5,3709.48
2019-01-07 02:30:00,5.525,5.5098,5.5426,5.5083,1460.08
2019-01-07 02:45:00,5.5117,5.5121,5.5226,5.5117,1407.37
2019-01-07 03:00:00,5.5121,5.4871,5.5121,5.4865,5018.74
2019-01-07 03:15:00,5.4959,5.4602,5.4959,5.4602,3279.66
2019-01-07 03:30:00,5.4601,5.4038,5.4601,5.3823,12069.85
2019-01-07 03:45:00,5.4037,5.4439,5.4481,5.358,22325.38
2019-01-07 04:00:00,5.4511,5.4648,5.4793,5.4502,1802.23
2019-01-07 04:15:00,5.4374,5.4407,5.4526,5.4368,960.47
2019-01-07 04:30:00,5.4383,5.42,5.4383,5.4084,787.52
2019-01-07 04:45:00,5.4162,5.42,5.42,5.416,422.93
2019-01-07 05:00:00,5.4111,5.4608,5.4608,5.4111,1091.41
2019-01-07 05:15:00,5.4643,5.4125,5.4741,5.4125,4687.64
2019-01-07 05:30:00,5.4243,5.41,5.4243,5.41,2335.69
2019-01-07 05:45:00,5.41,5.4031,5.41,5.4004,626.81
2019-01-07 06:00:00,5.404,5.4205,5.4206,5.4017,405.84
2019-01-07 06:15:00,5.4204,5.4575,5.4625,5.4204,1146.36
2019-01-07 06:30:00,5.4527,5.4403,5.4527,5.4374,61.31
2019-01-07 06:45:00,5.4388,5.4387,5.439,5.4387,36.3
2019-01-07 07:00:00,5.424,5.4477,5.4577,5.424,8913.29
2019-01-07 07:15:00,5.444,5.4449,5.4449,5.4336,357.98
2019-01-07 07:30:00,5.4596,5.4731,5.4773,5.4596,2414.41
2019-01-07 07:45:00,5.467,5.4504,5.467,5.4504,359.94
2019-01-07 08:00:00,5.4505,5.4587,5.4612,5.4504,1849.98
2019-01-07 08:15:00,5.4587,5.4513,5.4587,5.4506,235.21
2019-01-07 08:30:00,5.4507,5.4507,5.4582,5.4506,2535.27
2019-01-07 08:45:00,5.4508,5.4584,5.4585,5.4508,1019.74
2019-01-07 09:00:00,5.4584,5.4593,5.4737,5.4584,3189.1
2019-01-07 09:15:00,5.455,5.4506,5.455,5.4506,1762.52
2019-01-07 09:30:00,5.4507,5.4694,5.4694,5.4506,1423.57
2019-01-07 09:45:00,5.466,5.4605,5.466,5.4467,1184.94
2019-01-07 10:00:00,5.455,5.3874,5.455,5.3873,6318.25
