timestamp,ema50_dist_xrp_btc_15m,ema200_dist_xrp_btc_15m,upper_bb_dist_xrp_btc_15m,lower_bb_dist_xrp_btc_15m,width_bb_xrp_btc_15m,rsi_xrp_btc_15m,stoch_rsi_fastk_xrp_btc_15m,stoch_rsi_fastd_xrp_btc_15m,kijun_dist_xrp_btc_15m,tenkan_dist_xrp_btc_15m
2019-02-10 04:45:00,0.5871584507918248,1.0286857559216322,1.1493380060717762,-0.250048906545719,1.3931228118226264,33.22252304839944,25.402073732379023,17.926824717853716,-0.7523696682464553,-0.6694312796208579
2019-02-10 05:00:00,0.5526834449720575,1.0066003640226473,1.0630703662790397,-0.2870959556641628,1.3449480954149595,33.83827176119655,57.468623854915684,37.083032669492276,-0.7641274730482261,-0.6811989100817484
2019-02-10 05:15:00,0.46238680165240353,0.9255521969119274,0.8813937009764405,-0.34629248160860104,1.224410265454779,37.55860657607787,100.0,60.956899195764926,-0.8346158399431758,-0.7517461820764737
2019-02-10 05:30:00,0.42140567595732037,0.8926899071076688,0.7450714236616918,-0.34620765280123367,1.089107049739266,38.79407619770484,100.0,85.82287461830526,-0.8580897147591471,-0.7752396733341271
2019-02-10 05:45:00,0.46201124653313386,0.9429552073864311,0.6839921450389808,-0.2564696438546954,0.9384557341800468,36.83202740956815,64.78452712272345,88.26150904090785,-0.7993841781146371,-0.7164850781620102
2019-02-10 06:00:00,0.40961270696073804,0.8980788259855155,0.553474417766564,-0.266982171998853,0.8192829986344248,38.83102167537512,100.0,88.26150904090785,-0.8346158399431758,-0.7517461820764737
2019-02-10 06:15:00,0.3478876574513068,0.8418611573400403,0.42838822390667275,-0.28994306948707527,0.7178343899289323,41.489726702733876,100.0,88.26150904090785,-0.8815524789965723,-0.7987220447284393
2019-02-10 06:30:00,0.22029549898594514,0.7154860136708407,0.20692856326376408,-0.34993766384292524,0.5572646967220045,47.61935909909507,100.0,100.00000000000004,-0.998699917267476,-0.9159673797423551
2019-02-10 06:45:00,0.257199838233757,0.7555292622686283,0.2220637728451491,-0.29182846481631275,0.5140715578808911,45.56317970551757,80.93894344999347,93.6463144833312,-0.9518741870639724,-0.8691025186236212
2019-02-10 07:00:00,0.5670940254471679,1.0793775122667215,0.522284396036854,0.013959523763862336,0.5069655862072346,34.37415542723565,0.0,60.31298114999786,-0.6228496856092058,-0.5398030608613102
2019-02-10 07:15:00,1.7166792429136102,2.28230636988469,2.0877322744777826,0.7136606169727111,1.3550909467772194,17.592124691446845,0.0,26.979647816664528,0.5823727185398475,0.6664265129682878
2019-02-10 07:30:00,1.5321507767749987,2.138147379098476,2.0778775398617055,0.32917451098979367,1.7279072158341373,21.66973198960456,13.579696494190319,4.526565498063477,0.461741424802109,0.5456944111297712
2019-02-10 07:45:00,1.8243190727122105,2.4820209835139107,2.569610719968396,0.37694681493771753,2.160828872057647,18.683041628164045,3.9001637091215136,5.826620067770649,0.8245064997592699,0.9087626384208125
2019-02-10 08:00:00,1.741003022823251,2.445113124877274,2.6302664478365934,0.11615309723498335,2.480056965980311,19.08338972677348,8.88608213633176,8.788647446547904,0.812372126609695,0.896618124924764
2019-02-10 08:15:00,1.2860359619296657,2.0195549142124625,2.1877470063736304,-0.39680958129570953,2.5616180990575335,31.132844903379358,99.99999999999999,37.59541528181779,0.4135698873171778,0.4974826180772052
2019-02-10 08:30:00,1.7516091468448458,2.535034091879562,2.743552966603291,-0.0814657166635313,2.78791037988547,25.648600275081908,55.949146287192214,54.945076141174695,0.9460110870089133,1.0303687635574876
2019-02-10 08:45:00,1.5534956952546253,2.3754179313978163,2.5990392748744595,-0.37133437657140833,2.9376525367180797,29.01517470330513,82.99033202966332,79.64649277228521,0.812372126609695,0.896618124924764
