timestamp,ema50_dist_zec_btc_30m,ema200_dist_zec_btc_30m,lower_bb_dist_zec_btc_30m,width_bb_zec_btc_30m,rsi_zec_btc_30m,stoch_rsi_fastk_zec_btc_30m,stoch_rsi_fastd_zec_btc_30m,kijun_dist_zec_btc_30m,tenkan_dist_zec_btc_30m
2019-02-06 03:00:00,0.023576169544897274,0.04230751110175457,-0.0024597766054870185,0.04389277390677066,0.32348502854841554,0.9205246900804468,0.30684156336014934,0.017702712691255895,0.01718530563973686
2019-02-06 03:30:00,0.018165334168477543,0.03720160959399732,-0.00883725082716591,0.045395059543595094,0.3758519499175224,1.0,0.6401748966934826,0.013060113310278787,0.012545066588183218
2019-02-06 04:00:00,0.02382820923963913,0.044042622295457745,-0.005214213793643174,0.04831876570259884,0.33608646200838554,0.8276149536100386,0.9160465478968289,0.019662297267273976,0.019143893949492785
2019-02-06 04:30:00,0.02238409189820101,0.04301932098769545,-0.008060031572447057,0.05020184219490733,0.3420497068852001,0.8534658685308679,0.8936936073803027,0.01913397483345669,0.01861584011843087
2019-02-06 05:00:00,0.02274388462236776,0.04375708631064379,-0.00907243500996946,0.05192895251541022,0.33419894582684684,0.20459322408729214,0.6285580154094,0.02041799451567483,0.019899206996220276
2019-02-06 05:30:00,0.019599547826769648,0.040327664391224705,-0.012909740700009054,0.052517445435529234,0.3629145323621745,0.6894001324085994,0.5824864083422537,0.01807897071872233,0.017561372375036965
2019-02-06 06:00:00,0.01342825085992816,0.03312729957825211,-0.018957140007695328,0.05171801333513187,0.4272729238447757,1.0,0.6313311188319645,0.012464151775865906,0.01194940804470912
2019-02-06 06:30:00,0.021643009215837505,0.041241356512266236,-0.011830464688553755,0.0523026868680373,0.36347696541056257,0.3145671884581522,0.6679891069555844,0.021553642973734854,0.02103427808280145
2019-02-06 07:00:00,0.02057582775517308,0.039532385797006464,-0.01339189176837352,0.05224146866553078,0.36600448509833067,0.34172321790476273,0.5520968021209722,0.021326311104517437,0.02080706179066838
2019-02-06 07:30:00,0.019332711041143202,0.03700203233534349,-0.014684244836270177,0.0511158804922862,0.3713807760023004,0.13154840332537973,0.2626129365627655,0.020871950767405556,0.020352932453473693
2019-02-06 08:00:00,0.01690726319905833,0.03325834045123299,-0.01688528345641338,0.049736455001417136,0.39264267812793835,0.4571717932171462,0.3101478048157635,0.01913397483345669,0.01861584011843087
2019-02-06 08:30:00,0.018418629145785292,0.03328539259611896,-0.015177083990777218,0.04802762704087707,0.3748340058163563,0.38939697842623394,0.3260390583229205,0.02140207715133524,0.020882789317507422
2019-02-06 09:00:00,0.018786356673982985,0.03187230584552436,-0.014360237520235741,0.04583124343254834,0.36589789314456356,0.0,0.2821895905477939,0.022539918306721196,0.02202005198663204
2019-02-06 09:30:00,0.01334718249662159,0.02409099329726283,-0.018562538012709462,0.042535952254958605,0.42938159037768736,1.0,0.46313232614207855,0.017627494456762705,0.017110125646710994
2019-02-06 10:00:00,0.014770547111223387,0.020846535131560984,-0.014433145514438417,0.0351669110947586,0.4109758046886132,0.7100706718217014,0.5700235572739011,0.019662297267273976,0.019143893949492785
2019-02-06 10:30:00,0.011958101432991697,0.013303347374145513,-0.013997894440791914,0.027310726107290274,0.44062394293824453,1.0,0.9033568906072343,0.017326732673267342,0.016809516772572808
2019-02-06 11:00:00,0.011058311314205316,0.009237339247735843,-0.012538668642122386,0.02181201220838522,0.44643171724638464,1.0,0.9033568906072343,0.016875923190546427,0.016358936484490272
2019-02-06 11:30:00,0.011989696818054396,0.005916833518501807,-0.008202167443507102,0.01413515273404796,0.43116531474679526,0.5694257629185401,0.8564752543061804,0.018304859108054128,0.017787145921159597
2019-02-06 12:00:00,0.012383206900800747,0.006850987245589524,-0.007073061418363058,0.01392559492143889,0.42136472587612167,0.29300955575691,0.6208117728918172,0.019209415944925645,0.01869124287512025
2019-02-06 12:30:00,0.009742301990506741,0.0033099385437400652,-0.0066632142657278015,0.009989902257820909,0.4547336166289721,1.0,0.6208117728918172,0.016951030356747054,0.016434005465691515
